seed,base_sharpe,ppo_sharpe,base_dd,ppo_dd
10,1.711788004776282,2.4493367750051993,0.06921808761327883,0.04473522589115425
11,1.5451558975267004,2.3038036325232603,0.07436680766550195,0.04691680844701284
12,1.4655145682971664,2.226725637875983,0.08059284010427582,0.0510556176743868
13,1.5628004713699855,2.3026314325966535,0.07163564143393254,0.04596883433521983
14,1.984595486074604,2.711375811805371,0.06007576327623073,0.03738510884963255
15,1.7167438594095057,2.4475360608258447,0.0671246328863613,0.04214937526688718
16,1.8580968449698496,2.5762929710789098,0.05939772767287277,0.03850831234819092
17,1.5575971101927473,2.3084811008595723,0.07646623259701514,0.04843285941081352
18,1.4321248571218679,2.188354531792454,0.07919809482160095,0.04921461472300583
19,1.6930303970174392,2.4332809131433857,0.07143333142149899,0.04732311967457077
20,1.4426711022282037,2.2003515936447484,0.07981939567345134,0.05079076463663128
21,1.4648874071772608,2.218443516446152,0.07690192708006412,0.048825005944868466
22,1.4368909389668427,2.1817242281979676,0.07731398352194922,0.04840270207420988
23,1.7930297734290495,2.5305410967984985,0.06659033864144438,0.04241840351666466
24,1.9430005456719164,2.6935561500748224,0.06612575086616394,0.04194351669336558
